ID;Location_Name;Religion;Day;Time;Gender;Age_Group;Reach;Total_Poll_Responses;Yes_Counts;No_Counts
120214331500540382;Kipé;Muslim;Sun;After;Female;(50, 65);0;0;0;0
120214331499330382;Kipé;Muslim;Sun;After;Female;(25, 49);215;1;1;0
120214331497860382;Kipé;Muslim;Sun;After;Female;(18, 24);0;0;0;0
120214331497170382;Kipé;Muslim;Fri;After;Female;(50, 65);0;0;0;0
120214331495840382;Kipé;Muslim;Fri;After;Female;(25, 49);0;0;0;0
120214331494540382;Kipé;Muslim;Fri;After;Female;(18, 24);0;0;0;0
120214331493420382;Kipé;Muslim;Tue;After;Female;(50, 65);0;0;0;0
120214331491090382;Kipé;Muslim;Tue;After;Female;(25, 49);0;0;0;0
120214331490500382;Kipé;Muslim;Tue;After;Female;(18, 24);184;1;1;0
120214331489010382;Kipé;Muslim;Sun;Before;Female;(50, 65);0;0;0;0
120214331487980382;Kipé;Muslim;Sun;Before;Female;(25, 49);0;0;0;0
120214331487120382;Kipé;Muslim;Sun;Before;Female;(18, 24);114;1;1;0
120214331485950382;Kipé;Muslim;Fri;Before;Female;(50, 65);0;0;0;0
120214331482950382;Kipé;Muslim;Fri;Before;Female;(25, 49);0;0;0;0
120214331477570382;Kipé;Muslim;Fri;Before;Female;(18, 24);101;1;1;0
120214331476340382;Kipé;Muslim;Tue;Before;Female;(50, 65);0;0;0;0
120214331474950382;Kipé;Muslim;Tue;Before;Female;(25, 49);324;2;0;2
120214331472060382;Kipé;Muslim;Tue;Before;Female;(18, 24);169;1;1;0
120214331470600382;Kipé;Muslim;Sun;After;Male;(50, 65);0;0;0;0
120214331470000382;Kipé;Muslim;Sun;After;Male;(25, 49);0;0;0;0
120214331468550382;Kipé;Muslim;Sun;After;Male;(18, 24);204;1;1;0
120214331467990382;Kipé;Muslim;Fri;After;Male;(50, 65);0;0;0;0
120214331467010382;Kipé;Muslim;Fri;After;Male;(25, 49);209;3;3;0
120214331465930382;Kipé;Muslim;Fri;After;Male;(18, 24);0;0;0;0
120214331465570382;Kipé;Muslim;Tue;After;Male;(50, 65);0;0;0;0
120214331464740382;Kipé;Muslim;Tue;After;Male;(25, 49);0;0;0;0
120214331463610382;Kipé;Muslim;Tue;After;Male;(18, 24);0;0;0;0
120214331461810382;Kipé;Muslim;Sun;Before;Male;(50, 65);0;0;0;0
120214331459570382;Kipé;Muslim;Sun;Before;Male;(25, 49);222;2;2;0
120214331458710382;Kipé;Muslim;Sun;Before;Male;(18, 24);159;2;2;0
120214331457750382;Kipé;Muslim;Fri;Before;Male;(50, 65);0;0;0;0
120214331456660382;Kipé;Muslim;Fri;Before;Male;(25, 49);207;1;1;0
