ID;Location;Day;Time;Reach;Total_Poll;Yes;No
120227002302680382;Santa Catarina;Islam;Adset;37,744;297;176;121
120227002300900382;Santa Catarina;Christian;Adset;36,696;299;167;132
120227002296960382;Njikoka;Islam;Adset;41,248;396;218;178
120227002294270382;Njikoka;Christian;Adset;42,353;491;283;208
120227002289330382;Bojanala Platinum;Islam;Adset;14,660;191;124;67
120227002287630382;Bojanala Platinum;Christian;Adset;15,012;228;147;81
120227002283320382;Kiambu County;Islam;Adset;97,808;1,091;626;465
120227002281310382;Kiambu County;Christian;Adset;95,600;1,227;720;507
120227002279360382;Aïn Sebaâ;Islam;Adset;299,586;10,928;6,720;4,208
120227002275210382;Aïn Sebaâ;Christian;Adset;301,441;11,878;7,327;4,551
120227006701210382;Aïn Sebaâ;Sun;After;55,421;1,366;691;675
120227006691920382;Aïn Sebaâ;Sun;After;261;2;1;1
120227006680290382;Aïn Sebaâ;Sun;After;84,561;2,054;1,057;997
120227006671180382;Aïn Sebaâ;Fri;After;39,035;1,148;581;567
120227006657210382;Aïn Sebaâ;Fri;After;92;1;1;0
120227006638520382;Aïn Sebaâ;Fri;After;17,356;563;277;286
120227006621770382;Aïn Sebaâ;Tue;After;42,696;1,278;642;636
120227006581790382;Aïn Sebaâ;Tue;After;115;2;2;0
120227006508000382;Aïn Sebaâ;Tue;After;28,320;947;483;464
120227006494950382;Aïn Sebaâ;Sun;Before;10,580;247;143;104
120227006445120382;Aïn Sebaâ;Sun;Before;73;1;0;1
120227006425030382;Aïn Sebaâ;Sun;Before;42,174;951;533;418
120227006411470382;Aïn Sebaâ;Fri;Before;6,865;211;106;105
120227006326710382;Aïn Sebaâ;Fri;Before;0;0;0;0
120227006290900382;Aïn Sebaâ;Fri;Before;12,380;434;234;200
120227006229860382;Aïn Sebaâ;Tue;Before;16,044;463;262;201
120227006205740382;Aïn Sebaâ;Tue;Before;31;1;0;1
120227006187700382;Aïn Sebaâ;Tue;Before;23,978;708;372;336
120227006152420382;Aïn Sebaâ;Sun;After;68,545;1,640;871;769
120227006135850382;Aïn Sebaâ;Sun;After;0;0;0;0
120227006126780382;Aïn Sebaâ;Sun;After;70,877;1,646;809;837
120227006112170382;Aïn Sebaâ;Fri;After;14,284;428;231;197
120227006083910382;Aïn Sebaâ;Fri;After;27;1;1;0
120227006045420382;Aïn Sebaâ;Fri;After;12,984;408;221;187
120227006032310382;Aïn Sebaâ;Tue;After;63,696;1,959;977;982
