ID,Location,Day,Time,Gender,Age,Reach,Total_Poll,Yes,No
120214077490520382,Galeshewe,,,Islam,,0,0,0,0
120214077489300382,Galeshewe,,,Christian,,9056,76,51,25
120214077487440382,Windhoek,,,Islam,,60345,695,437,258
120214077484940382,Windhoek,,,Christian,,60122,869,554,315
120214077481420382,Tanana Ambany,,,Islam,,706,7,5,2
120214077477060382,Tanana Ambany,,,Christian,,717,16,11,5
120214077474750382,Aba,,,Islam,,19594,152,92,60
120214077472800382,Aba,,,Christian,,20415,205,119,86
120214077470640382,Yaoundé,,,Islam,,22252,462,253,209
120214077468290382,Yaoundé,,,Christian,,22350,549,284,265
120214077550290382,Grombalia,,,Islam,,116368,2036,984,1052
120214077544790382,Grombalia,,,Christian,,0,0,0,0
120214077537560382,Kati,,,Islam,,21982,517,342,175
120214077533250382,Kati,,,Christian,,22029,632,406,226
120214077531200382,Kipé,,,Islam,,15435,220,142,78
120214077527590382,Kipé,,,Christian,,15060,270,165,105
120214077520850382,Al-Qanatir al-Chairiyya,,,Islam,,152729,1194,716,478
120214077517900382,Al-Qanatir al-Chairiyya,,,Christian,,152311,1481,860,621
120214077514140382,Birkhadem,,,Islam,,340596,7353,4580,2773
120214077510100382,Birkhadem,,,Christian,,339370,7805,4776,3029
120214331500540382,Kipé,Sun,After,Female,"(50, 65)",0,0,0,0
120214331499330382,Kipé,Sun,After,Female,"(25, 49)",215,1,1,0
120214331497860382,Kipé,Sun,After,Female,"(18, 24)",0,0,0,0
120214331497170382,Kipé,Fri,After,Female,"(50, 65)",0,0,0,0
120214331495840382,Kipé,Fri,After,Female,"(25, 49)",0,0,0,0
120214331494540382,Kipé,Fri,After,Female,"(18, 24)",0,0,0,0
120214331493420382,Kipé,Tue,After,Female,"(50, 65)",0,0,0,0
120214331491090382,Kipé,Tue,After,Female,"(25, 49)",0,0,0,0
120214331490500382,Kipé,Tue,After,Female,"(18, 24)",0,0,0,0
120214331489010382,Kipé,Sun,Before,Female,"(50, 65)",0,0,0,0
120214331487980382,Kipé,Sun,Before,Female,"(25, 49)",0,0,0,0
120214331487120382,Kipé,Sun,Before,Female,"(18, 24)",114,1,1,0
120214331485950382,Kipé,Fri,Before,Female,"(50, 65)",0,0,0,0
120214331482950382,Kipé,Fri,Before,Female,"(25, 49)",0,0,0,0
120214331477570382,Kipé,Fri,Before,Female,"(18, 24)",0,0,0,0
120214331476340382,Kipé,Tue,Before,Female,"(50, 65)",0,0,0,0
120214331474950382,Kipé,Tue,Before,Female,"(25, 49)",324,2,0,2
120214331472060382,Kipé,Tue,Before,Female,"(18, 24)",169,1,1,0
120214331470600382,Kipé,Sun,After,Male,"(50, 65)",0,0,0,0
120214331470000382,Kipé,Sun,After,Male,"(25, 49)",0,0,0,0
120214331468550382,Kipé,Sun,After,Male,"(18, 24)",0,0,0,0
120214331467990382,Kipé,Fri,After,Male,"(50, 65)",0,0,0,0
120214331467010382,Kipé,Fri,After,Male,"(25, 49)",209,3,3,0
120214331465930382,Kipé,Fri,After,Male,"(18, 24)",0,0,0,0
120214331465570382,Kipé,Tue,After,Male,"(50, 65)",0,0,0,0
120214331464740382,Kipé,Tue,After,Male,"(25, 49)",0,0,0,0
120214331463610382,Kipé,Tue,After,Male,"(18, 24)",0,0,0,0
120214331461810382,Kipé,Sun,Before,Male,"(50, 65)",0,0,0,0
120214331459570382,Kipé,Sun,Before,Male,"(25, 49)",222,2,2,0
120214331458710382,Kipé,Sun,Before,Male,"(18, 24)",0,0,0,0
120214331457750382,Kipé,Fri,Before,Male,"(50, 65)",0,0,0,0
120214331456660382,Kipé,Fri,Before,Male,"(25, 49)",207,1,1,0
120214331454730382,Kipé,Fri,Before,Male,"(18, 24)",0,0,0,0
120214331453540382,Kipé,Tue,Before,Male,"(50, 65)",0,0,0,0
120214331452670382,Kipé,Tue,Before,Male,"(25, 49)",0,0,0,0
