;region;christian;muslim;country;geoname_id;precision_code;place_name;latitude;longitude;location_type_code;geoname_adm_code;geoname_adm_name;location_class;geographic_exactness;dominant;Reach
0;Alibori;0.0383237;0.9616763;1;2395591;1;Angara-DÃ©bou;11.32454;3.0588601;PPL;6295630|6255146|BJ|08|2395591;Earth|Africa|Benin|Atakora|Angara-DÃ©bou;2;1;muslim;0
47;Sahel;0.045025464;0.95497453;3;2361209;1;Dyoungodyo;13.61165;0.41356;PPL;6295630|6255146|BF|12|2597268|2361209;Earth|Africa|Burkina Faso|Sahel|Province du Yagha|Dyoungodyo;2;1;muslim;0
51;Santiago-Interior;0.95536411;0.0;4;3374226;4;Santa Catarina;15.1;-23.700001;ADM1;6295630|6255146|CV|15;Earth|Africa|Cape Verde|Santa Catarina;1;1;christian;0
57;Volta;0.9139356;0.031989716;5;2293998;1;Worawora;7.5132499;0.37382999;PPL;6295630|6255146|GH|00;Earth|Africa|Ghana|Worawora;2;1;christian;0
65;Central;0.91039348;0.002152629;6;8693007;3;Kiambu County;-1.16667;36.833328;ADM2;6295630|6255146|KE|22|8693007;Earth|Africa|Kenya|Kiambu|Kiambu County;1;1;christian;76150.65751383502
70;North Eastern;0.0036672936;0.99074399;6;8299464;3;Ijara District;-1.452;40.807999;ADM2;6295630|6255146|KE|16|8299464;Earth|Africa|Kenya|Garissa|Ijara District;1;1;muslim;0
72;Maseru;0.96679664;0.0;7;932692;6;Lesotho;-29.5;28.25;PCLI;6295630|6255146|LS;Earth|Africa|Lesotho;1;1;christian;0
74;Mohale’s Hoek;0.94580787;0.0;7;7603044;3;Tsatsane Community;-30.4461;27.986099;ADM3;6295630|6255146|LS|18|7603044;Earth|Africa|Lesotho|Quthing|Tsatsane Community;1;1;christian;0
75;Quthing;0.94581181;0.0;7;932506;4;Maseru;-29.58333;27.83333;ADM1;6295630|6255146|LS|14;Earth|Africa|Lesotho|Maseru;1;1;christian;0
76;Qacha’s Nek;0.92587429;0.0;7;932692;6;Lesotho;-29.5;28.25;PCLI;6295630|6255146|LS;Earth|Africa|Lesotho;1;1;christian;0
80;Berea;0.92311561;0.0061404044;7;7432583;3;Phuthiatsana Community;-29.1255;27.880051;ADM3;6295630|6255146|LS|10|7432583;Earth|Africa|Lesotho|Berea|Phuthiatsana Community;1;1;christian;0
81;Thaba Tseka;0.9139083;0.0;7;7603114;3;Bobete Community;-29.443451;28.717501;ADM3;6295630|6255146|LS|19|7603114;Earth|Africa|Lesotho|Thaba-Tseka|Bobete Community;1;1;christian;0
85;Grand Bassa;0.97756398;0.0058479612;8;9817889;1;Dirt Hole Camp;6.14643;-9.7292299;PPL;6295630|6255146|LR|11|9817889;Earth|Africa|Liberia|Grand Bassa County|Dirt Hole Camp;2;1;christian;0
86;Grand Cape Mount;0.080155268;0.91984475;8;2274351;3;Porkpa District;7.2800798;-11.06562;ADM2;6295630|6255146|LR|12|2274351;Earth|Africa|Liberia|Grand Cape Mount County|Porkpa District;1;1;muslim;0
87;Grand Gedeh;0.96646601;0.03353399;8;2272491;1;Zwedru;6.06846;-8.1355896;PPLA;6295630|6255146|LR|19|2272491;Earth|Africa|Liberia|Grand Gedeh County|Zwedru;2;1;christian;0
88;Grand Kru;1.0;0.0;8;9874222;1;Bila Togbaklee;4.6280398;-8.3177404;PPL;6295630|6255146|LR|16|9874222;Earth|Africa|Liberia|Grand Kru County|Bila Togbaklee;2;1;christian;0
90;Margibi;0.96288657;0.033857793;8;2275493;1;Kwalakoma;6.7283301;-10.25944;PPL;6295630|6255146|LR|17|2275493;Earth|Africa|Liberia|Margibi County|Kwalakoma;2;1;christian;0
91;Maryland;0.9207859;0.01627538;8;2276492;1;Harper;4.3782001;-7.7108102;PPLA;6295630|6255146|LR|13|2276492;Earth|Africa|Liberia|Maryland County|Harper;2;1;christian;0
93;Nimba;0.91290265;0.010852718;8;9645142;3;Yarpea Mahn District;7.2232699;-8.6856003;ADM2;6295630|6255146|LR|09|9645142;Earth|Africa|Liberia|Nimba County|Yarpea Mahn District;1;1;christian;0
94;River Cess;0.93901825;0.0;8;9645147;3;Central River Cess District;5.81006;-9.3179398;ADM2;6295630|6255146|LR|18|9645147;Earth|Africa|Liberia|River Cess County|Central River Cess District;1;1;christian;0
